System,Year,PdxnYear,PdxnYearBH,RepYear,Popn,ID,Geno,Rep,Rep_ID,Breeding_hist,Cross,Seed_Color,SeedWT_per_Plant_Grams,DTG,GermPercent,Cotyledon_Color,Vigor,DT50%F,100_SW,Taproot_Diameter,BR_1_Diameter,BR_2_Diameter,Branching_Density,Disease_Rating
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,18,B18,3,B18_3,Conventional,ORBV,Pigmented,NA,NA,0.88,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,180,B180,1,B180_1,Conventional,ORBV,Pigmented,15.569975,NA,0.96,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,180,B180,2,B180_2,Conventional,ORBV,Pigmented,10.81499375,NA,0.84,NA,NA,45,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,180,B180,3,B180_3,Conventional,ORBV,Pigmented,NA,NA,0.88,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,181,B181,1,B181_1,Conventional,ORBV,Pigmented,30.59333333,NA,1,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,181,B181,2,B181_2,Conventional,ORBV,Pigmented,35.59333333,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,181,B181,3,B181_3,Conventional,ORBV,Pigmented,NA,NA,0.88,NA,NA,43,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,187,B187,1,B187_1,Conventional,ORBV,Pigmented,31.70429286,NA,0.92,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,187,B187,2,B187_2,Conventional,ORBV,Pigmented,25.83999375,NA,0.88,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,187,B187,3,B187_3,Conventional,ORBV,Pigmented,NA,NA,0.92,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,188,B188,1,B188_1,Conventional,ORBV,Pigmented,36.11143571,NA,0.92,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,188,B188,2,B188_2,Conventional,ORBV,Pigmented,36.48616923,NA,0.92,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,188,B188,3,B188_3,Conventional,ORBV,Pigmented,NA,NA,0.92,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,189,B189,1,B189_1,Conventional,ORBV,Pigmented,13.61499375,NA,0.96,NA,NA,42,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,189,B189,2,B189_2,Conventional,ORBV,Pigmented,16.21057647,NA,0.96,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,189,B189,3,B189_3,Conventional,ORBV,Pigmented,NA,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-2,B,19,B19,2,B19_2,Conventional,ORBV,Pigmented,NA,NA,0.92,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,190,B190,1,B190_1,Conventional,ORBV,Pigmented,25.65429286,NA,1,NA,NA,40,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-3,B,190,B190,3,B190_3,Conventional,ORBV,Pigmented,NA,NA,0.96,NA,NA,41,NA,NA,NA,NA,NA,NA
Conv,2018,2018 Con,2018 Con Conventional,2018 Con-1,B,195,B195,1,B195_1,Conventional,ORBV,White,34.89458182,NA,0.72,NA,NA,45,NA,NA,NA,NA,NA,NA
